yumeng@gmail.com,Yumeng,Ren,Data200,90,A
student1@university.edu,Isabella,Ward,CS100,A,95.1
student2@university.edu,Savannah,Chapman,CS100,C,75.2
student3@university.edu,Mila,Mitchell,CS100,D,68.4
student4@university.edu,Claire,Bell,CS100,A,94.2
student5@university.edu,Nathan,Peterson,CS100,C,81.2
student6@university.edu,Alexa,Gray,CS100,D,71.4
student7@university.edu,Victoria,Wright,CS100,C,78.7
student8@university.edu,Eli,Sanchez,CS100,D,62.9
student9@university.edu,Ava,Howard,CS100,F,58.2
student10@university.edu,Stella,Morris,CS100,D,74.2
student11@university.edu,Thomas,Reynolds,CS100,D,73.2
student12@university.edu,Audrey,Mitchell,CS100,F,56.3
student13@university.edu,Liam,Turner,CS100,D,65.3
student14@university.edu,Savannah,Allen,CS100,B,87.0
student15@university.edu,Julian,Clark,CS100,F,59.0
student16@university.edu,Zoey,Robinson,CS100,D,67.3
student17@university.edu,Charles,Robinson,CS100,D,74.4
student18@university.edu,Riley,Howard,CS100,C,76.0
student19@university.edu,Paisley,Taylor,CS100,D,61.1
student20@university.edu,Hannah,White,CS100,B,92.0
student21@university.edu,Skylar,Brown,CS101,B,91.3
student22@university.edu,Ellie,Price,CS101,D,74.3
student23@university.edu,Samantha,Lewis,CS101,C,81.7
student24@university.edu,Lucas,James,CS101,B,91.8
student25@university.edu,Elijah,Collins,CS101,B,87.9
student26@university.edu,Gabriel,Foster,CS101,B,88.9
student27@university.edu,Layla,Hill,CS101,D,71.5
student28@university.edu,Ryan,Turner,CS101,F,58.7
student29@university.edu,Nathan,Thompson,CS101,D,73.4
student30@university.edu,Samuel,Smith,CS101,C,77.3
student31@university.edu,Amelia,Coleman,CS101,F,57.7
student32@university.edu,Jonathan,Russell,CS101,B,87.4
student33@university.edu,Elijah,Peterson,CS101,C,82.7
student34@university.edu,Asher,Nelson,CS101,F,56.2
student35@university.edu,Aria,Dixon,CS101,F,58.8
student36@university.edu,Luke,Sanchez,CS101,C,80.7
student37@university.edu,Dylan,Shaw,CS101,C,84.0
student38@university.edu,Dylan,Wilson,CS101,C,83.4
student39@university.edu,Sofia,Clark,CS101,F,57.6
student40@university.edu,Henry,Stewart,CS101,A,98.5
student41@university.edu,Charles,Price,CS101,D,64.7
student42@university.edu,Joshua,Garcia,CS102,D,73.2
student43@university.edu,Jacob,Bryant,CS102,C,81.3
student44@university.edu,Landon,Cox,CS102,D,66.9
student45@university.edu,Connor,Ross,CS102,A,93.5
student46@university.edu,Jackson,Thomas,CS102,D,70.3
student47@university.edu,Grace,Martin,CS102,C,79.5
student48@university.edu,Christopher,Evans,CS102,D,61.7
student49@university.edu,Layla,Burns,CS102,C,84.8
student50@university.edu,Nora,Nelson,CS102,A,97.7
student51@university.edu,Mila,Gibson,CS102,F,55.3
student52@university.edu,Josiah,Brown,CS102,F,57.5
student53@university.edu,Sophia,Phillips,CS102,D,70.5
student54@university.edu,Paisley,Ross,CS102,A,94.7
student55@university.edu,Jack,Davis,CS102,C,75.8
student56@university.edu,Ella,Clark,CS102,D,68.2
student57@university.edu,Nora,Russell,CS102,F,56.2
student58@university.edu,Emma,Nelson,CS102,F,56.5
student59@university.edu,Isaac,Turner,CS102,F,56.0
student60@university.edu,Thomas,Scott,CS102,B,86.3
student61@university.edu,Avery,Perry,CS102,D,74.6
student62@university.edu,Alexa,Chapman,CS102,C,81.0
student63@university.edu,Jacob,Hall,CS103,D,62.9
student64@university.edu,Ryan,Cooper,CS103,C,75.8
student65@university.edu,Mia,Baker,CS103,D,71.1
student66@university.edu,Elijah,Carter,CS103,C,83.5
student67@university.edu,David,Garcia,CS103,D,71.0
student68@university.edu,Audrey,Lee,CS103,D,61.6
student69@university.edu,Lily,Price,CS103,C,83.1
student70@university.edu,Charlotte,Hughes,CS103,F,59.0
student71@university.edu,Lincoln,Gonzalez,CS103,A,98.6
student72@university.edu,Samantha,Torres,CS103,B,88.7
student73@university.edu,Addison,Brooks,CS103,F,57.0
student74@university.edu,Sebastian,Graham,CS103,D,72.8
student75@university.edu,Isaac,Anderson,CS103,C,77.8
student76@university.edu,Grace,Fox,CS103,C,76.8
student77@university.edu,Addison,Gray,CS103,D,65.7
student78@university.edu,Julian,Coleman,CS103,C,82.4
student79@university.edu,Emily,Peterson,CS103,C,75.5
student80@university.edu,Julian,Parker,CS103,B,88.4
student81@university.edu,Joshua,Brooks,CS103,F,56.2
student82@university.edu,Addison,Russell,CS103,A,94.9
student83@university.edu,Michael,Clark,CS103,C,82.7
student84@university.edu,Emma,Morgan,CS104,A,96.3
student85@university.edu,Emma,James,CS104,B,88.0
student86@university.edu,Alexa,Young,CS104,D,67.2
student87@university.edu,Christian,Carter,CS104,C,84.4
student88@university.edu,Julian,Scott,CS104,C,82.7
student89@university.edu,Aubrey,Gibson,CS104,B,86.3
student90@university.edu,Zoe,Cole,CS104,C,78.9
student91@university.edu,Avery,Burns,CS104,D,68.5
student92@university.edu,Leo,Collins,CS104,A,97.2
student93@university.edu,Leah,Williams,CS104,A,93.5
student94@university.edu,James,Brooks,CS104,D,70.3
student95@university.edu,Charles,Sullivan,CS104,A,98.6
student96@university.edu,Isaac,Gibson,CS104,D,67.6
student97@university.edu,Audrey,Morris,CS104,F,59.7
student98@university.edu,Eleanor,Thomas,CS104,A,96.7
student99@university.edu,Joshua,Lee,CS104,D,63.5
student100@university.edu,Allison,Scott,CS104,C,80.0
student101@university.edu,Skylar,White,CS104,F,56.1
student102@university.edu,Isaiah,Baker,CS104,C,82.9
student103@university.edu,Charles,Reed,CS104,D,71.1
student104@university.edu,Isaiah,Sanders,CS104,B,86.0
student105@university.edu,Daniel,Bryant,CS104,D,63.3
student106@university.edu,Ella,Morgan,CS105,C,84.7
student107@university.edu,Isaac,Phillips,CS105,A,98.7
student108@university.edu,Jack,Robinson,CS105,B,87.5
student109@university.edu,Julian,Martin,CS105,C,75.3
student110@university.edu,Scarlett,Brown,CS105,D,66.4
student111@university.edu,Natalie,Turner,CS105,D,65.1
student112@university.edu,Emily,Hughes,CS105,F,55.5
student113@university.edu,Paisley,Reed,CS105,C,79.4
student114@university.edu,Claire,Graham,CS105,F,59.2
student115@university.edu,Julian,Rodriguez,CS105,B,86.3
student116@university.edu,Lincoln,Coleman,CS105,A,96.5
student117@university.edu,Ava,Gray,CS105,F,57.9
student118@university.edu,Lincoln,Ross,CS105,C,79.0
student119@university.edu,William,Rodriguez,CS105,D,65.0
student120@university.edu,Ellie,Parker,CS105,C,77.3
student121@university.edu,Stella,Robinson,CS105,D,65.5
student122@university.edu,Addison,Smith,CS105,A,95.6
student123@university.edu,Landon,Scott,CS105,D,60.0
student124@university.edu,Lincoln,White,CS105,D,62.7
student125@university.edu,Chloe,Powell,CS105,B,90.3
student126@university.edu,Luke,Morgan,CS106,B,90.2
student127@university.edu,Jayden,Lewis,CS106,C,80.7
student128@university.edu,Mila,Taylor,CS106,C,79.4
student129@university.edu,Alexa,Thompson,CS106,F,55.7
student130@university.edu,Jackson,Sullivan,CS106,C,84.8
student131@university.edu,Avery,Gibson,CS106,D,73.1
student132@university.edu,Emma,Taylor,CS106,D,63.5
student133@university.edu,Ethan,Freeman,CS106,F,56.8
student134@university.edu,Addison,Gomez,CS106,F,55.0
student135@university.edu,William,Shaw,CS106,D,74.5
student136@university.edu,Zoe,Torres,CS106,F,57.7
student137@university.edu,Zoey,Hill,CS106,A,95.5
student138@university.edu,Evelyn,Coleman,CS106,F,55.7
student139@university.edu,Aiden,Baker,CS106,B,92.8
student140@university.edu,Aubrey,Murphy,CS106,C,76.8
student141@university.edu,Andrew,Clark,CS106,D,65.0
